l0 density,l1 density,min,max,image
0.03216552734375,0.1048583984375,-5,6,batch_00295_protodune-orig-3-4-V.npz
0.03271484375,0.11590576171875,-6,7,batch_00631_protodune-orig-8-2-V.npz
0.0146484375,0.25396728515625,-34,40,batch_00469_protodune-orig-7-0-V.npz
0.05975341796875,1.07647705078125,-42,46,batch_00916_protodune-orig-1-3-V.npz
0.03338623046875,0.20147705078125,-10,13,batch_00603_protodune-orig-7-2-V.npz
0.0911865234375,1.43505859375,-35,40,batch_00646_protodune-orig-1-4-V.npz
0.0078125,0.044677734375,-10,12,batch_00263_protodune-orig-8-3-V.npz
0.060791015625,0.830810546875,-29,33,batch_00917_protodune-orig-8-1-V.npz
0.0760498046875,1.5693359375,-49,54,batch_00604_protodune-orig-0-5-V.npz
0.0245361328125,0.50787353515625,-47,52,batch_00787_protodune-orig-5-0-V.npz
0.0338134765625,0.22479248046875,-12,14,batch_00924_protodune-orig-4-5-V.npz
0.0416259765625,0.5205078125,-27,30,batch_00570_protodune-orig-7-4-V.npz
0.0594482421875,0.67144775390625,-24,28,batch_00968_protodune-orig-3-0-V.npz
0.02581787109375,0.5218505859375,-46,51,batch_00347_protodune-orig-9-0-V.npz
0.02880859375,0.43792724609375,-30,34,batch_00481_protodune-orig-5-1-V.npz
0.2296142578125,4.97979736328125,-52,56,batch_00452_protodune-orig-4-2-V.npz
0.03985595703125,0.394287109375,-19,22,batch_00662_protodune-orig-8-2-V.npz
0.047119140625,0.99444580078125,-46,53,batch_00725_protodune-orig-6-3-V.npz
0.05029296875,0.585205078125,-24,27,batch_00329_protodune-orig-5-2-V.npz
0.0770263671875,1.1514892578125,-33,37,batch_00938_protodune-orig-6-3-V.npz
0.0592041015625,1.22265625,-50,55,batch_00827_protodune-orig-2-3-V.npz
0.03271484375,0.4658203125,-26,29,batch_00057_protodune-orig-3-4-V.npz
0.1104736328125,1.80645751953125,-42,46,batch_00516_protodune-orig-3-3-V.npz
0.0213623046875,0.3367919921875,-35,39,batch_00919_protodune-orig-3-5-V.npz
0.1324462890625,2.69732666015625,-48,53,batch_00267_protodune-orig-0-1-V.npz
0.04913330078125,0.53778076171875,-22,25,batch_00269_protodune-orig-8-1-V.npz
0.0567626953125,0.85076904296875,-32,37,batch_00528_protodune-orig-5-5-V.npz
0.0780029296875,1.04498291015625,-29,33,batch_00357_protodune-orig-1-1-V.npz
0.01934814453125,0.05462646484375,-4,5,batch_00172_protodune-orig-1-2-V.npz
0.0654296875,0.78887939453125,-27,30,batch_00956_protodune-orig-0-0-V.npz
0.08160400390625,1.33294677734375,-37,41,batch_00313_protodune-orig-3-5-V.npz
0.06396484375,1.243408203125,-47,52,batch_00488_protodune-orig-7-2-V.npz
0.0313720703125,0.16748046875,-9,11,batch_00819_protodune-orig-4-0-V.npz
0.04071044921875,1.25372314453125,-77,88,batch_00634_protodune-orig-9-4-V.npz
0.155029296875,2.74627685546875,-40,45,batch_00774_protodune-orig-7-4-V.npz
0.02532958984375,0.0697021484375,-4,5,batch_00576_protodune-orig-8-4-V.npz
0.15338134765625,2.67010498046875,-40,44,batch_00687_protodune-orig-1-0-V.npz
0.04510498046875,0.52392578125,-42,47,batch_00320_protodune-orig-0-2-V.npz
0.035888671875,0.62237548828125,-33,37,batch_00219_protodune-orig-1-5-V.npz
0.0950927734375,1.49285888671875,-35,39,batch_00021_protodune-orig-0-3-V.npz
0.03619384765625,0.250244140625,-12,15,batch_00366_protodune-orig-7-3-V.npz
0.138916015625,1.81512451171875,-28,32,batch_00914_protodune-orig-1-4-V.npz
0.0345458984375,0.40216064453125,-21,25,batch_00328_protodune-orig-9-5-V.npz
0.0333251953125,0.57537841796875,-39,43,batch_00495_protodune-orig-4-3-V.npz
0.048583984375,0.54327392578125,-22,26,batch_00128_protodune-orig-3-4-V.npz
0.0364990234375,0.28448486328125,-14,17,batch_00601_protodune-orig-8-3-V.npz
0.02685546875,0.27899169921875,-19,22,batch_00545_protodune-orig-9-5-V.npz
0.18133544921875,3.91046142578125,-51,56,batch_00546_protodune-orig-9-3-V.npz
0.0517578125,1.57049560546875,-74,84,batch_00142_protodune-orig-1-5-V.npz
0.01556396484375,0.26348876953125,-37,42,batch_00136_protodune-orig-8-2-V.npz
0.03155517578125,0.1756591796875,-9,11,batch_00868_protodune-orig-5-2-V.npz
0.03521728515625,0.26885986328125,-14,16,batch_00594_protodune-orig-3-5-V.npz
0.14935302734375,3.45965576171875,-57,63,batch_00119_protodune-orig-9-1-V.npz
0.033935546875,0.38507080078125,-21,24,batch_00369_protodune-orig-3-2-V.npz
0.04217529296875,0.49212646484375,-23,27,batch_00554_protodune-orig-4-2-V.npz
0.051513671875,1.027587890625,-45,50,batch_00292_protodune-orig-9-5-V.npz
0.23773193359375,5.582763671875,-57,62,batch_00181_protodune-orig-0-4-V.npz
0.04327392578125,0.68280029296875,-34,38,batch_00554_protodune-orig-3-2-V.npz
0.06097412109375,0.87139892578125,-31,35,batch_00937_protodune-orig-7-5-V.npz
0.01666259765625,0.06402587890625,-6,8,batch_00382_protodune-orig-7-5-V.npz
0.02984619140625,0.47491455078125,-31,36,batch_00131_protodune-orig-0-5-V.npz
0.031982421875,0.31597900390625,-17,21,batch_00854_protodune-orig-1-0-V.npz
0.02166748046875,0.5135498046875,-58,65,batch_00562_protodune-orig-4-3-V.npz
0.04473876953125,0.83038330078125,-39,44,batch_00572_protodune-orig-4-4-V.npz
0.039306640625,0.6019287109375,-39,35,batch_00691_protodune-orig-3-3-V.npz
0.04376220703125,0.58160400390625,-27,31,batch_00919_protodune-orig-1-0-V.npz
0.03875732421875,0.2674560546875,-13,15,batch_00689_protodune-orig-3-2-V.npz
0.04156494140625,0.3660888671875,-16,19,batch_00496_protodune-orig-2-3-V.npz
0.02435302734375,0.19110107421875,-14,16,batch_00343_protodune-orig-2-1-V.npz
0.02911376953125,0.1259765625,-7,9,batch_00382_protodune-orig-3-0-V.npz
0.0325927734375,0.53228759765625,-31,34,batch_00553_protodune-orig-9-1-V.npz
0.05462646484375,0.74505615234375,-30,34,batch_00071_protodune-orig-0-4-V.npz
0.0316162109375,0.92022705078125,-89,95,batch_00891_protodune-orig-3-2-V.npz
0.06201171875,0.739013671875,-25,29,batch_00005_protodune-orig-7-2-V.npz
0.0390625,0.57879638671875,-29,34,batch_00549_protodune-orig-8-5-V.npz
0.0189208984375,0.35040283203125,-43,48,batch_00684_protodune-orig-0-0-V.npz
0.0299072265625,0.06964111328125,-3,5,batch_00945_protodune-orig-0-3-V.npz
0.037109375,0.261474609375,-13,15,batch_00873_protodune-orig-2-5-V.npz
0.03350830078125,0.5023193359375,-36,38,batch_00938_protodune-orig-3-1-V.npz
0.00634765625,0.07647705078125,-25,28,batch_00330_protodune-orig-9-5-V.npz
0.015625,0.20758056640625,-35,39,batch_00129_protodune-orig-7-2-V.npz
0.05169677734375,0.77166748046875,-32,36,batch_00828_protodune-orig-5-4-V.npz
0.02935791015625,0.16680908203125,-10,12,batch_00998_protodune-orig-9-5-V.npz
0.08892822265625,1.99896240234375,-55,61,batch_00636_protodune-orig-3-1-V.npz
0.06304931640625,1.346923828125,-53,57,batch_00649_protodune-orig-3-4-V.npz
0.06610107421875,1.0245361328125,-34,38,batch_00660_protodune-orig-9-3-V.npz
0.060546875,1.26446533203125,-50,56,batch_00473_protodune-orig-0-2-V.npz
0.04400634765625,1.0042724609375,-50,61,batch_00432_protodune-orig-0-3-V.npz
0.0362548828125,0.35626220703125,-18,21,batch_00334_protodune-orig-1-1-V.npz
0.0159912109375,0.30908203125,-44,48,batch_00379_protodune-orig-3-1-V.npz
0.0364990234375,0.60186767578125,-32,37,batch_00176_protodune-orig-3-3-V.npz
0.0206298828125,0.24664306640625,-24,28,batch_00867_protodune-orig-6-4-V.npz
0.0201416015625,0.08544921875,-6,8,batch_00897_protodune-orig-4-1-V.npz
0.04278564453125,0.64794921875,-35,40,batch_00419_protodune-orig-8-1-V.npz
0.0325927734375,0.28228759765625,-15,18,batch_00713_protodune-orig-0-0-V.npz
0.0631103515625,0.91619873046875,-32,36,batch_00569_protodune-orig-5-5-V.npz
0.0078125,0.05975341796875,-21,20,batch_00101_protodune-orig-6-2-V.npz
0.03131103515625,0.16119384765625,-9,11,batch_00460_protodune-orig-0-1-V.npz
0.06866455078125,0.61102294921875,-19,22,batch_00645_protodune-orig-9-3-V.npz
0.01055908203125,0.126220703125,-26,30,batch_00523_protodune-orig-5-1-V.npz
0.03076171875,0.323974609375,-19,22,batch_00302_protodune-orig-1-3-V.npz
0.0377197265625,0.6842041015625,-41,46,batch_00953_protodune-orig-8-5-V.npz
