l0 density,l1 density,min,max,image
0.2528076171875,1.28375244140625,-94,1,batch_00114_protodune-orig-9-0-W.npz
0.28045654296875,1.725341796875,-136,4,batch_00692_protodune-orig-5-0-W.npz
0.06494140625,1.67535400390625,-145,14,batch_00902_protodune-orig-0-1-W.npz
0.07147216796875,0.07147216796875,0,1,batch_00971_protodune-orig-9-3-W.npz
0.0650634765625,1.5986328125,-152,1,batch_00267_protodune-orig-8-5-W.npz
0.18865966796875,2.78936767578125,-100,0,batch_00643_protodune-orig-5-1-W.npz
0.51312255859375,1.78717041015625,-133,1,batch_00510_protodune-orig-1-3-W.npz
0.0350341796875,0.081298828125,-80,0,batch_00234_protodune-orig-8-2-W.npz
0.34765625,0.34765625,0,1,batch_00456_protodune-orig-8-1-W.npz
0.19073486328125,0.19073486328125,0,1,batch_00295_protodune-orig-9-5-W.npz
0.127197265625,0.127197265625,0,1,batch_00474_protodune-orig-4-5-W.npz
0.2032470703125,2.65484619140625,-311,7,batch_00961_protodune-orig-9-5-W.npz
0.33929443359375,1.54986572265625,-91,1,batch_00382_protodune-orig-2-4-W.npz
0.3658447265625,1.81243896484375,-97,5,batch_00849_protodune-orig-0-5-W.npz
0.9998779296875,1.00262451171875,-27,1,batch_00365_protodune-orig-7-3-W.npz
0.0626220703125,1.69293212890625,-93,0,batch_00715_protodune-orig-3-5-W.npz
0.06207275390625,1.5570068359375,-173,1,batch_00907_protodune-orig-1-2-W.npz
0.171875,0.50775146484375,0,5,batch_00146_protodune-orig-5-2-W.npz
0.2926025390625,0.2926025390625,0,1,batch_00306_protodune-orig-4-3-W.npz
0.18341064453125,1.7764892578125,-114,8,batch_00578_protodune-orig-5-4-W.npz
0.125732421875,0.207275390625,-78,4,batch_00568_protodune-orig-8-3-W.npz
0.55419921875,0.55419921875,0,1,batch_00939_protodune-orig-8-4-W.npz
0.142333984375,1.5106201171875,-180,8,batch_00843_protodune-orig-3-0-W.npz
0.747314453125,3.8675537109375,-111,1,batch_00049_protodune-orig-2-4-W.npz
0.16802978515625,3.50830078125,-145,0,batch_00294_protodune-orig-2-1-W.npz
0.04449462890625,1.38824462890625,-90,0,batch_00783_protodune-orig-6-1-W.npz
0.044921875,0.9625244140625,-135,1,batch_00903_protodune-orig-8-5-W.npz
0.03125,1.4403076171875,-131,29,batch_00815_protodune-orig-4-1-W.npz
0.263671875,0.53411865234375,0,3,batch_00801_protodune-orig-5-4-W.npz
0.2991943359375,1.47454833984375,-97,2,batch_00783_protodune-orig-1-1-W.npz
0.06707763671875,1.63275146484375,-126,15,batch_00846_protodune-orig-8-4-W.npz
0.068359375,1.66705322265625,-166,0,batch_00060_protodune-orig-8-5-W.npz
0.0546875,0.0546875,0,1,batch_00016_protodune-orig-2-0-W.npz
0.010498046875,0.010498046875,0,1,batch_00711_protodune-orig-7-5-W.npz
0.06378173828125,0.9720458984375,-160,0,batch_00289_protodune-orig-8-5-W.npz
0.02459716796875,0.37042236328125,-189,1,batch_00130_protodune-orig-5-5-W.npz
0.15570068359375,2.860595703125,-86,0,batch_00791_protodune-orig-8-5-W.npz
0.0755615234375,0.0755615234375,0,1,batch_00023_protodune-orig-8-2-W.npz
0.09954833984375,2.3070068359375,-252,3,batch_00971_protodune-orig-2-0-W.npz
0.390625,0.70709228515625,0,2,batch_00109_protodune-orig-4-0-W.npz
0.01202392578125,0.48138427734375,-103,0,batch_00601_protodune-orig-6-1-W.npz
0.015625,0.02947998046875,0,2,batch_00431_protodune-orig-4-2-W.npz
0.16021728515625,0.2586669921875,0,2,batch_00692_protodune-orig-0-3-W.npz
0.34368896484375,0.90771484375,-132,2,batch_00545_protodune-orig-1-3-W.npz
0.25,0.25,0,1,batch_00794_protodune-orig-8-3-W.npz
0.029541015625,0.83551025390625,-108,0,batch_00234_protodune-orig-0-2-W.npz
