l0 density,l1 density,min,max,image
0.1285400390625,0.97210693359375,-25,34,batch_00536_protodune-orig-9-0-U.npz
0.15496826171875,0.77069091796875,-21,28,batch_00085_protodune-orig-0-1-U.npz
0.14715576171875,1.49530029296875,-37,49,batch_00056_protodune-orig-2-4-U.npz
0.24725341796875,2.3336181640625,-50,60,batch_00495_protodune-orig-3-5-U.npz
0.13165283203125,1.16485595703125,-35,45,batch_00353_protodune-orig-1-1-U.npz
0.123046875,1.0146484375,-31,41,batch_00462_protodune-orig-7-2-U.npz
0.083740234375,1.82891845703125,-156,191,batch_00325_protodune-orig-2-2-U.npz
0.134033203125,0.3228759765625,-10,12,batch_00763_protodune-orig-2-1-U.npz
0.13311767578125,1.24676513671875,-47,51,batch_00987_protodune-orig-7-0-U.npz
0.122314453125,0.3885498046875,-13,16,batch_00320_protodune-orig-6-5-U.npz
0.1368408203125,0.87811279296875,-24,31,batch_00291_protodune-orig-4-5-U.npz
0.10504150390625,0.3822021484375,-13,17,batch_00366_protodune-orig-6-5-U.npz
0.10882568359375,0.39794921875,-13,17,batch_00239_protodune-orig-6-2-U.npz
0.113525390625,0.73358154296875,-24,30,batch_00351_protodune-orig-8-2-U.npz
0.0430908203125,0.8662109375,-47,57,batch_00251_protodune-orig-2-5-U.npz
0.113525390625,0.9027099609375,-58,51,batch_00396_protodune-orig-0-5-U.npz
0.13385009765625,0.245849609375,-6,8,batch_00026_protodune-orig-8-5-U.npz
0.10919189453125,0.596923828125,-19,24,batch_00724_protodune-orig-9-1-U.npz
0.1116943359375,0.8607177734375,-27,36,batch_00916_protodune-orig-2-5-U.npz
0.1380615234375,0.2100830078125,-4,6,batch_00194_protodune-orig-5-5-U.npz
0.116455078125,0.885009765625,-29,38,batch_00371_protodune-orig-0-2-U.npz
0.22662353515625,3.36053466796875,-77,94,batch_00945_protodune-orig-4-4-U.npz
0.10760498046875,0.6317138671875,-23,29,batch_00275_protodune-orig-1-0-U.npz
0.10943603515625,0.58544921875,-17,23,batch_00950_protodune-orig-5-5-U.npz
0.14129638671875,0.16375732421875,-1,3,batch_00273_protodune-orig-3-0-U.npz
0.10205078125,0.3936767578125,-12,15,batch_00047_protodune-orig-3-4-U.npz
0.1473388671875,1.526123046875,-37,47,batch_00185_protodune-orig-8-3-U.npz
0.2734375,2.4193115234375,-43,55,batch_00101_protodune-orig-6-3-U.npz
0.1480712890625,0.332275390625,-11,12,batch_00260_protodune-orig-0-3-U.npz
0.11212158203125,0.689453125,-22,27,batch_00212_protodune-orig-8-1-U.npz
0.18035888671875,1.99395751953125,-48,57,batch_00910_protodune-orig-2-5-U.npz
0.10418701171875,3.62371826171875,-146,162,batch_00319_protodune-orig-4-4-U.npz
0.0899658203125,0.30615234375,-9,12,batch_00719_protodune-orig-5-4-U.npz
0.09930419921875,0.42120361328125,-14,17,batch_00541_protodune-orig-3-3-U.npz
0.2861328125,2.9732666015625,-51,59,batch_00172_protodune-orig-2-5-U.npz
0.22088623046875,1.45770263671875,-32,42,batch_00260_protodune-orig-9-4-U.npz
0.25335693359375,1.74798583984375,-56,68,batch_00408_protodune-orig-5-1-U.npz
0.40301513671875,5.387939453125,-119,143,batch_00332_protodune-orig-2-5-U.npz
0.1424560546875,1.35504150390625,-36,47,batch_00210_protodune-orig-5-1-U.npz
0.1502685546875,0.86834716796875,-29,38,batch_00329_protodune-orig-7-2-U.npz
0.09674072265625,1.0186767578125,-43,54,batch_00940_protodune-orig-8-2-U.npz
0.67779541015625,8.88128662109375,-86,98,batch_00478_protodune-orig-8-3-U.npz
0.37091064453125,3.2554931640625,-47,63,batch_00154_protodune-orig-8-4-U.npz
0.11602783203125,0.6563720703125,-22,28,batch_00110_protodune-orig-7-5-U.npz
0.08636474609375,0.370849609375,-13,17,batch_00105_protodune-orig-6-2-U.npz
0.21533203125,2.26239013671875,-29,38,batch_00235_protodune-orig-0-1-U.npz
0.12713623046875,0.218017578125,-5,7,batch_00549_protodune-orig-3-3-U.npz
0.10699462890625,0.4539794921875,-13,18,batch_00780_protodune-orig-3-4-U.npz
0.21795654296875,2.31671142578125,-69,85,batch_00100_protodune-orig-1-0-U.npz
0.150390625,0.2806396484375,-7,10,batch_00018_protodune-orig-7-4-U.npz
0.10443115234375,0.67596435546875,-64,71,batch_00336_protodune-orig-4-2-U.npz
0.1451416015625,0.25372314453125,-6,9,batch_00918_protodune-orig-8-1-U.npz
0.357177734375,4.2615966796875,-85,104,batch_00293_protodune-orig-9-1-U.npz
0.27825927734375,1.2994384765625,-41,43,batch_00678_protodune-orig-7-5-U.npz
0.13427734375,0.30389404296875,-8,10,batch_00253_protodune-orig-0-4-U.npz
0.1383056640625,1.3458251953125,-35,45,batch_00290_protodune-orig-7-5-U.npz
0.186767578125,0.9656982421875,-58,58,batch_00123_protodune-orig-5-4-U.npz
0.197509765625,1.0577392578125,-27,36,batch_00493_protodune-orig-1-3-U.npz
0.1229248046875,0.33197021484375,-9,13,batch_00031_protodune-orig-7-4-U.npz
0.07635498046875,0.65167236328125,-50,59,batch_00821_protodune-orig-8-2-U.npz
0.3680419921875,8.79571533203125,-148,167,batch_00201_protodune-orig-3-1-U.npz
0.1162109375,0.76617431640625,-22,30,batch_00393_protodune-orig-8-2-U.npz
0.25115966796875,2.08355712890625,-50,62,batch_00117_protodune-orig-1-3-U.npz
0.09674072265625,2.4530029296875,-68,77,batch_00471_protodune-orig-8-4-U.npz
0.116943359375,0.73321533203125,-20,27,batch_00611_protodune-orig-9-3-U.npz
0.11273193359375,0.71673583984375,-23,30,batch_00142_protodune-orig-5-3-U.npz
0.14630126953125,1.44244384765625,-37,48,batch_00492_protodune-orig-7-2-U.npz
0.17742919921875,1.68914794921875,-43,56,batch_00493_protodune-orig-5-0-U.npz
0.1343994140625,0.24609375,-6,8,batch_00598_protodune-orig-7-1-U.npz
0.187255859375,1.29437255859375,-53,45,batch_00021_protodune-orig-1-1-U.npz
0.38153076171875,3.2652587890625,-43,54,batch_00500_protodune-orig-7-1-U.npz
0.09344482421875,0.67144775390625,-31,43,batch_00506_protodune-orig-6-2-U.npz
0.0504150390625,0.79296875,-47,62,batch_00289_protodune-orig-4-5-U.npz
0.1209716796875,0.805908203125,-45,45,batch_00154_protodune-orig-2-4-U.npz
0.114990234375,0.7376708984375,-21,29,batch_00789_protodune-orig-5-4-U.npz
0.258544921875,2.96258544921875,-67,89,batch_00141_protodune-orig-8-4-U.npz
0.2138671875,2.17120361328125,-45,57,batch_00880_protodune-orig-3-2-U.npz
0.21783447265625,1.42803955078125,-58,67,batch_00428_protodune-orig-9-4-U.npz
0.11761474609375,0.82159423828125,-24,32,batch_00643_protodune-orig-6-1-U.npz
0.15521240234375,1.2032470703125,-41,52,batch_00248_protodune-orig-6-2-U.npz
0.099853515625,0.2642822265625,-26,13,batch_00191_protodune-orig-1-2-U.npz
0.235107421875,1.05108642578125,-34,46,batch_00549_protodune-orig-0-5-U.npz
0.14495849609375,0.25244140625,-6,9,batch_00386_protodune-orig-4-0-U.npz
0.10382080078125,0.43658447265625,-14,18,batch_00266_protodune-orig-5-3-U.npz
0.249267578125,2.33282470703125,-51,67,batch_00277_protodune-orig-5-3-U.npz
0.14093017578125,0.3433837890625,-11,13,batch_00647_protodune-orig-3-4-U.npz
