l0 density,l1 density,min,max,image
0.19439697265625,2.333740234375,-41,49,batch_00517_protodune-orig-8-4-V.npz
0.0889892578125,0.37384033203125,-13,17,batch_00463_protodune-orig-6-4-V.npz
0.05682373046875,0.3753662109375,-16,20,batch_00609_protodune-orig-3-0-V.npz
0.1295166015625,2.02947998046875,-35,41,batch_00113_protodune-orig-3-0-V.npz
0.088134765625,0.41278076171875,-15,18,batch_00069_protodune-orig-4-0-V.npz
0.08880615234375,0.76983642578125,-23,28,batch_00189_protodune-orig-8-5-V.npz
0.0697021484375,0.7532958984375,-25,31,batch_00164_protodune-orig-5-4-V.npz
0.1856689453125,1.69580078125,-43,53,batch_00897_protodune-orig-5-3-V.npz
0.08758544921875,0.26141357421875,-10,11,batch_00691_protodune-orig-3-2-V.npz
0.09881591796875,0.80621337890625,-34,38,batch_00897_protodune-orig-8-4-V.npz
0.05963134765625,0.80035400390625,-40,47,batch_00778_protodune-orig-1-1-V.npz
0.09417724609375,1.34515380859375,-48,54,batch_00785_protodune-orig-9-0-V.npz
0.11651611328125,2.69805908203125,-63,70,batch_00434_protodune-orig-2-1-V.npz
0.093505859375,0.82489013671875,-31,40,batch_00082_protodune-orig-8-1-V.npz
0.1407470703125,2.48614501953125,-39,46,batch_00109_protodune-orig-8-2-V.npz
0.09063720703125,1.02130126953125,-36,41,batch_00289_protodune-orig-8-1-V.npz
0.03515625,0.84210205078125,-45,81,batch_00786_protodune-orig-8-3-V.npz
0.0936279296875,1.6270751953125,-39,46,batch_00977_protodune-orig-3-4-V.npz
0.08746337890625,0.36456298828125,-13,16,batch_00610_protodune-orig-8-4-V.npz
0.188232421875,4.94378662109375,-61,69,batch_00011_protodune-orig-2-3-V.npz
0.08984375,0.28955078125,-9,48,batch_00385_protodune-orig-8-5-V.npz
0.10394287109375,0.21685791015625,-6,8,batch_00752_protodune-orig-3-1-V.npz
0.10943603515625,2.209228515625,-55,64,batch_00827_protodune-orig-5-5-V.npz
0.0882568359375,1.00274658203125,-39,46,batch_00809_protodune-orig-2-3-V.npz
0.107421875,1.864013671875,-45,51,batch_00427_protodune-orig-4-3-V.npz
0.0958251953125,2.70867919921875,-74,86,batch_00578_protodune-orig-9-0-V.npz
0.14520263671875,3.0966796875,-50,57,batch_00021_protodune-orig-5-2-V.npz
0.09234619140625,0.5008544921875,-22,39,batch_00312_protodune-orig-8-2-V.npz
0.1968994140625,0.38873291015625,-10,9,batch_00503_protodune-orig-2-2-V.npz
0.0869140625,0.61712646484375,-19,23,batch_00758_protodune-orig-1-5-V.npz
0.0889892578125,0.7298583984375,-28,33,batch_00342_protodune-orig-6-3-V.npz
0.0946044921875,0.40533447265625,-14,17,batch_00674_protodune-orig-5-5-V.npz
0.09002685546875,0.72845458984375,-24,29,batch_00021_protodune-orig-4-0-V.npz
0.148681640625,0.8265380859375,-24,28,batch_00170_protodune-orig-0-0-V.npz
0.10205078125,1.7685546875,-47,53,batch_00767_protodune-orig-6-5-V.npz
0.22528076171875,5.59637451171875,-54,63,batch_00703_protodune-orig-1-3-V.npz
0.08294677734375,0.31378173828125,-12,14,batch_00715_protodune-orig-6-4-V.npz
0.1126708984375,2.12847900390625,-47,54,batch_00629_protodune-orig-0-3-V.npz
0.092529296875,1.512939453125,-41,48,batch_00667_protodune-orig-3-2-V.npz
0.0870361328125,0.3231201171875,-11,14,batch_00054_protodune-orig-1-4-V.npz
0.10791015625,1.04901123046875,-32,39,batch_00637_protodune-orig-8-5-V.npz
0.06671142578125,1.929443359375,-104,115,batch_00083_protodune-orig-9-1-V.npz
0.135009765625,2.3499755859375,-37,44,batch_00029_protodune-orig-2-4-V.npz
0.09808349609375,0.53131103515625,-22,26,batch_00280_protodune-orig-6-3-V.npz
0.08428955078125,0.18426513671875,-6,7,batch_00898_protodune-orig-8-3-V.npz
0.08380126953125,0.189697265625,-6,8,batch_00109_protodune-orig-4-2-V.npz
0.0888671875,0.2208251953125,-7,9,batch_00818_protodune-orig-0-0-V.npz
0.09228515625,0.75347900390625,-27,33,batch_00170_protodune-orig-6-5-V.npz
0.156494140625,5.58282470703125,-89,101,batch_00861_protodune-orig-6-4-V.npz
0.0675048828125,0.50018310546875,-21,26,batch_00556_protodune-orig-6-1-V.npz
0.09051513671875,0.63897705078125,-21,25,batch_00822_protodune-orig-2-2-V.npz
0.0909423828125,0.866943359375,-23,28,batch_00759_protodune-orig-1-2-V.npz
0.0908203125,0.2435302734375,-8,10,batch_00228_protodune-orig-3-5-V.npz
0.1102294921875,1.22900390625,-29,34,batch_00186_protodune-orig-7-3-V.npz
0.10009765625,0.7921142578125,-30,35,batch_00081_protodune-orig-3-3-V.npz
0.070556640625,1.76922607421875,-74,84,batch_00324_protodune-orig-9-4-V.npz
0.09661865234375,1.3834228515625,-39,45,batch_00062_protodune-orig-9-5-V.npz
0.0482177734375,0.683349609375,-42,48,batch_00244_protodune-orig-2-5-V.npz
0.1845703125,2.2760009765625,-37,43,batch_00218_protodune-orig-8-5-V.npz
0.09881591796875,1.660888671875,-48,54,batch_00013_protodune-orig-8-1-V.npz
0.08441162109375,0.2113037109375,-7,9,batch_00379_protodune-orig-2-3-V.npz
0.08782958984375,0.48626708984375,-18,21,batch_00089_protodune-orig-1-3-V.npz
0.0767822265625,0.47857666015625,-21,26,batch_00943_protodune-orig-3-4-V.npz
